default_code,name,standard_price,list_price
BAZ_30NP_030,Tole Bac 0.30 Aluzinc en 1000ml en 3M00,0,0
BAZ_30NP_035,Tole Bac 0.30 Aluzinc en 1000ml en 3M50,0,0
BAZ_30NP_040,Tole Bac 0.30 Aluzinc en 1000ml en 4M00,0,0
BAZ_30NP_045,Tole Bac 0.30 Aluzinc en 1000ml en 4M50,0,0
BAZ_30NP_050,Tole Bac 0.30 Aluzinc en 1000ml en 5M00,0,0
BAZ_30NP_055,Tole Bac 0.30 Aluzinc en 1000ml en 5M50,0,0
BAZ_30NP_060,Tole Bac 0.30 Aluzinc en 1000ml en 6M00,0,0
BAZ_30NP_999,Tole Bac 0.30Aluzinc en 1000ml coupée longueur,0,0
BAZ_35NP_020,Tole Bac 0.35 Aluzinc en 1000ml en 2M00,0,0
BAZ_35NP_025,Tole Bac 0.35Aluzinc en 1000ml en 2M50,0,0
BAZ_35NP_030,Tole Bac 0.35 Aluzinc en 1000ml en 3M00,0,0
BAZ_35NP_035,Tole Bac 0.35Aluzinc en 1000ml en 3M50,0,0
BAZ_35NP_040,Tole Bac 0.35Aluzinc en 1000ml en 4M00,0,0
BAZ_35NP_045,Tole Bac 0.35Aluzinc en 1000ml en 4M50,0,0
BAZ_35NP_050,Tole Bac 0.35Aluzinc en 1000ml en 5M00,0,0
BAZ_35NP_055,Tole Bac 0.35 Aluzinc en 1000ml en 5M50,0,0
BAZ_35NP_060,Tole Bac 0.35 Aluzinc en 1000ml en 6M00,0,0
BAZ_35NP_999,Tole Bac 0.35Aluzinc en 1000ml coupée longueur,0,0
BAZ_40JP_999,Tole bac 0 40MM coupe longueur vert jaune Aluzinc 1000/3 2kg - metre,0,12200
BAZ_40NP_020,Tole Bac 0.40 Aluzinc en 1000ml en 2M00,0,0
BAZ_40NP_025,Tole Bac 0.40 Aluzinc en 1000ml en 2M50,0,0
BAZ_40NP_030,Tole Bac 0.40 Aluzinc en 1000ml en 3M00,0,0
BAZ_40NP_035,Tole Bac 0.40 Aluzinc en 1000ml en 3M50,0,0
BAZ_40NP_040,Tole Bac 0.40 Aluzinc en 1000ml en 4M00,0,0
BAZ_40NP_045,Tole Bac 0.40 Aluzinc en 1000ml en 4M50,0,0
BAZ_40NP_050,Tole BAc 0.40 Aluzinc en 1000ml en 5M00,0,0
BAZ_40NP_055,Tole Bac 0.40 Aluzinc en 1000ml en 5M50,0,0
BAZ_40NP_060,Tole Bac 0.40 Aluzinc en 1000ml en 6M00,0,0
BAZ_40NP_999,Tole Bac 0.40Aluzinc en 1000ml coupée longueur,0,0
BAZ_40RP_999,Tole bac 0 40MM coupe longueur rouge brun Aluzinc 1000/3 2kg - metre,0,12200
BAZ_40WP_999,Tole bac 0 40MM coupe longueur blanc Aluzinc 1000/3 2kg - metre,0,12200
BAZ_50JP_999,Tole bac 0 50MM coupe longueur vert jaune AluzinC 1000/4kg - metre,0,15300
BAZ_60JP_999,Tole bac 0 60MM coupe longueur vert jaune Aluzinc 1000/4 8kg - metre,0,0
BAZ_60RP_999,Tole bac 0 60MM coupe longueur rouge brum Aluzinc 1000/4 8kg - metre,0,0
BAZ_60WP_999,Tole bac 0 60MM Coupe longueur blanc Aluzinc 1000/4 8kg - metre,0,0
BDR_14NP_001,Bande De Rive 0 14MM 2 00M galva 1000 - metre,2056,2634
BDR_16NP_001,Bande De Rive 0 16MM 2 00M galva 1000 - metre,2201,3015
BDR_18NP_001,Bande De Rive 0 18MM 2 00M galva 1000 - metre,2366,3162
BDR_20NP_001,Bande De Rive 0 20MM 2 00M galva 1000 - metre,2489,3460
BDR_25NP_001,Bande De Rive 0 25MM 2 00M galva 1000 - prix au metre,3592,3886
BDR_30NP_001,Bande De Rive 0 30MM 2 00M galva 1000 - metre,4038,4686
BDR_35NG_001,Bande De Rive 0 35MM 2 00M galva 1250 - metre,4284,6528
BDR_40NG_001,Bande De Rive 0 40MM 2 00M galva 1250 - metre,4791,6994
BDR_40NP_001,Bande De Rive 0 40MM 2 00M galva 1000 - metre,3534,5829
BDR_40RP_001,Bande De Rive 0 40MM 2 00M rouge brun 1000 - metre,4827,6971
BDR_40WP_001,Bande de Rive 0 40MM 2 00M blanc-mètre,4827,8222
BDR_50CP_001,Bande De Rive 0 50MM 2 00M blanc creme 1000 - metre,5827,8743
BDR_50EP_001,Bande De Rive 0 50MM 2 00M vert eméraude 1000 - metre,5827,8743
BDR_50JG_001,Bande De Rive 0 50MM 2 00M vert jaune 1250 - metre,6552,10491
BDR_50JP_001,Bande De Rive 0 50MM 2 00M vert jaune 1000 - metre,5827,8743
BDR_50NG_001,Bande De Rive 0 50MM 2 00M galva 1250 - metre,5989,8914
BDR_50NP_001,Bande De Rive 0 50MM 2 00M galva 1000 - metre,5490,7429
BDR_50RG_001,Bande De Rive 0 50MM 2 00M rouge brun 1250 - metre,6552,10491
BDR_50RP_001,Bande De Rive 0 50MM 2 00M rouge brun 1000 - metre,5827,8743
BDR_50TP_001,Bande De Rive 0 50MM 2 00M rouge trafic 1000 - metre,5827,8743
BDR_50VP_001,Bande De Rive 0 50MM 2 00M vert pale 1000 - metre,5827,8743
BDR_50WG_001,Bande De Rive 0 50MM 2 00M blanc 1250 - metre,6552,10491
BDR_50WP_001,Bande De Rive 0 50MM 2 00M blanc 1000 - metre,5827,8743
BDR_60BP_001,Bande De Rive 0 60MM 2 00M bleu 1000 - metre,6930,10514
BDR_60CP_001,Bande De Rive 0 60MM 2 00M blanc creme 1000 - metre,6930,10514
BDR_60EG_001,Bande de Rive 0 60MM 2 00M vert eméraude 1250 - metre,7775,14984
BDR_60EP_001,Bande De Rive 0 60MM 2 00M vert eméraude 1000 - metre,6930,10514
BDR_60JG_001,Bande De Rive 0 60MM 2 00M vert jaune 1250 - metre,7775,12617
BDR_60JP_001,Bande De Rive 0 60MM 2 00M vert jaune 1000 - metre,6930,10514
BDR_60NG_001,Bande De Rive 0 60MM 2 00M galva 1250 - metre,7332,10971
BDR_60NP_001,Bande De Rive 0 60MM 2 00M galva 1000 - metre,6398,9143
BDR_60RG_001,Bande De Rive 0 60MM 2 00M rouge brun 1250 - metre,7775,12617
BDR_60RP_001,Bande De Rive 0 60MM 2 00M rouge brun 1000 - metre,6930,10514
BDR_60TP_001,Bande De Rive 0 60MM 2 00M rouge trafic 1000 - metre,6930,10514
BDR_60VP_001,Bande De Rive 0 60MM 2 00M vert pale 1000 - metre,6930,10514
BDR_60WG_001,Bande De Rive 0 60MM 2 00M blanc 1250 - metre,7775,12617
BDR_60WP_001,Bande De Rive 0 60MM 2 00M blanc 1000 - metre,6930,10514
BDR_75GP_001,Bande De Rive 0 75MM 2 00M gris blanc galva 1000 - metre,9295,15257
BDR_75NP_001,Bande De Rive 0 75MM 2 00M galva 1000 - metre,7625,12229
BDR_80NG_001,Bande De Rive 0 80MM 2 00M galva 1250 - metre,9090,14674
BOB_010N_003,Bobine Galva 0.100 en 1000MM,0,0
BOB_010N_101,Bobine Galva 0.100 en 1000MM,0,0
BOB_014N_001,Bobine Galva 0.14 en 1000MM,1513,564
