"id","journal_id.id","partner_id/id","period_id.id","date","name","state"
"FAT08903",105,"C53196",1,2011/01/06,"FAT08903","posted"
"FAT08928",105,"C53162",1,2011/01/06,"FAT08928","posted"
"FAT08906",105,"C53319",1,2011/01/06,"FAT08906","posted"
"FAT08908",105,"C53033",1,2011/01/06,"FAT08908","posted"
"FAT08907",105,"C53196",1,2011/01/06,"FAT08907","posted"
"FAT08939",105,"C53319",1,2011/01/06,"FAT08939","posted"
"FAT08909",105,"C53024",1,2011/01/06,"FAT08909","posted"
"FAT08920",105,"C53901",1,2011/01/06,"FAT08920","posted"
"FAA13885",105,"C22970",1,2011/01/06,"FAA13885","posted"
"FAA13886",105,"C22970",1,2011/01/06,"FAA13886","posted"
"FAA13884",105,"C22970",1,2011/01/06,"FAA13884","posted"
"FAA14419",105,"C22374",1,2011/01/14,"FAA14419","posted"
"FAA13887",105,"C22970",1,2011/01/06,"FAA13887","posted"
"FAA13892",105,"C22140",1,2011/01/06,"FAA13892","posted"
"FAA13888",105,"C22970",1,2011/01/06,"FAA13888","posted"
"FAA13818",105,"C22073",1,2011/01/05,"FAA13818","posted"
"FAA13819",105,"C22909",1,2011/01/05,"FAA13819","posted"
"FAA13820",105,"C22970",1,2011/01/05,"FAA13820","posted"
"FAA13821",105,"C22579",1,2011/01/05,"FAA13821","posted"
"FAA13822",105,"C22970",1,2011/01/05,"FAA13822","posted"
"FAA13823",105,"C22579",1,2011/01/05,"FAA13823","posted"
"FAA13824",105,"C22970",1,2011/01/05,"FAA13824","posted"
"FAA13825",105,"C22970",1,2011/01/05,"FAA13825","posted"
"FAA13828",105,"C22959",1,2011/01/05,"FAA13828","posted"
"FAA13827",105,"C22482",1,2011/01/05,"FAA13827","posted"
"FAA13910",105,"C22959",1,2011/01/06,"FAA13910","posted"
"FAA13826",105,"C22986",1,2011/01/05,"FAA13826","posted"
"FRA01156",105,"C22856",1,2011/01/05,"FRA01156","posted"
"FAA13829",105,"C22970",1,2011/01/05,"FAA13829","posted"
"FAA13836",105,"C22626",1,2011/01/05,"FAA13836","posted"
"FAA13830",105,"C22907",1,2011/01/05,"FAA13830","posted"
"FAA13831",105,"C22970",1,2011/01/05,"FAA13831","posted"
"FAA13838",105,"C22940",1,2011/01/05,"FAA13838","posted"
"FAA13832",105,"C22909",1,2011/01/05,"FAA13832","posted"
"FAA13833",105,"C22909",1,2011/01/05,"FAA13833","posted"
"FAA13834",105,"C22909",1,2011/01/05,"FAA13834","posted"
"FAA13835",105,"C22970",1,2011/01/05,"FAA13835","posted"
"FAA13837",105,"C22970",1,2011/01/05,"FAA13837","posted"
"FAA13839",105,"C22757",1,2011/01/05,"FAA13839","posted"
